Pole Number, Area, District, City, State, Latitude, Longitude
Andhra Pradesh, , , , , 0.000000, 0.000000
Haryana, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Telangana, , , , , 0.000000, 0.000000
Manipur, , , , , 0.000000, 0.000000
Madhya Pradesh, , , , , 0.000000, 0.000000
Arunachal Pradesh, , , , , 0.000000, 0.000000
Madhya Pradesh, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Jammu and Kashmir, , , , , 0.000000, 0.000000
Jharkhand, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Assam, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Telangana, , , , , 0.000000, 0.000000
Haryana, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Lakshadweep, , , , , 0.000000, 0.000000
Telangana, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Kerala, , , , , 0.000000, 0.000000
Nagaland, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
West Bengal, , , , , 0.000000, 0.000000
Kerala, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
West Bengal, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Punjab, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Telangana, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Bihar, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Telangana, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Gujarat, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Delhi, , , , , 0.000000, 0.000000
Telangana, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Goa, , , , , 0.000000, 0.000000
Haryana, , , , , 0.000000, 0.000000
Haryana, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Punjab, , , , , 0.000000, 0.000000
Punjab, , , , , 0.000000, 0.000000
Bihar, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Gujarat, , , , , 0.000000, 0.000000
Andaman and Nicobar Islands, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Puducherry, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Odisha, , , , , 0.000000, 0.000000
Bihar, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Chhattisgarh, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Gujarat, , , , , 0.000000, 0.000000
Telangana, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Jharkhand, , , , , 0.000000, 0.000000
Madhya Pradesh, , , , , 0.000000, 0.000000
Odisha, , , , , 0.000000, 0.000000
Haryana, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Jammu and Kashmir, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Odisha, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Madhya Pradesh, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
West Bengal, , , , , 0.000000, 0.000000
Meghalaya, , , , , 0.000000, 0.000000
Himachal Pradesh, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Assam, , , , , 0.000000, 0.000000
Dadra and Nagar Haveli, , , , , 0.000000, 0.000000
Haryana, , , , , 0.000000, 0.000000
Haryana, , , , , 0.000000, 0.000000
Jammu and Kashmir, , , , , 0.000000, 0.000000
Gujarat, , , , , 0.000000, 0.000000
Assam, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Kerala, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Madhya Pradesh, , , , , 0.000000, 0.000000
Gujarat, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Telangana, , , , , 0.000000, 0.000000
Jharkhand, , , , , 0.000000, 0.000000
Odisha, , , , , 0.000000, 0.000000
Odisha, , , , , 0.000000, 0.000000
